timestamp,plot,type
3-4-2017 14:00,con,h2o
25-4-2017 14:00,con,h2o
30-5-2017 00:00,con,h2o
27-6-2017 07:00,con,h2o
1-7-2017 13:00,con,h2o
2-7-2017 07:00,con,h2o
19-7-2017 08:00,con,h2o
26-7-2017 08:00,con,h2o
27-7-2017 23:00,con,h2o
28-7-2017 09:00,con,h2o
12-8-2017 22:00,con,h2o
23-8-2017 16:00,con,h2o
24-8-2017 09:00,con,h2o
27-8-2017 08:00,con,h2o
29-8-2017 08:00,con,h2o
7-9-2017 09:00,con,h2o
19-9-2017 14:00,con,h2o
5-10-2017 10:00,con,h2o
6-10-2017 12:00,con,h2o
20-10-2017 23:00,con,h2o
20-10-2017 00:00,con,h2o
25-10-2017 09:00,con,h2o
11-11-2017 10:00,con,h2o
11-11-2017 16:00,con,h2o
11-11-2017 17:00,con,h2o
11-11-2017 19:00,con,h2o
11-11-2017 20:00,con,h2o
25-12-2017 07:00,con,h2o
1-1-2018 13:00,con,h2o
1-1-2018 14:00,con,h2o
1-1-2018 15:00,con,h2o
1-1-2018 16:00,con,h2o
1-1-2018 17:00,con,h2o
1-1-2018 18:00,con,h2o
1-1-2018 19:00,con,h2o
1-1-2018 20:00,con,h2o
1-1-2018 21:00,con,h2o
1-1-2018 22:00,con,h2o
1-1-2018 23:00,con,h2o
13-1-2018 23:00,con,h2o
13-1-2018 00:00,con,h2o
13-1-2018 01:00,con,h2o
13-1-2018 02:00,con,h2o
13-1-2018 03:00,con,h2o
14-1-2018 20:00,con,h2o
14-1-2018 21:00,con,h2o
14-1-2018 22:00,con,h2o
14-2-2018 08:00,con,h2o
24-3-2018 08:00,con,h2o
5-4-2018 01:00,con,h2o
14-5-2018 04:00,con,h2o
14-5-2018 05:00,con,h2o
28-5-2018 13:00,con,h2o
8-6-2018 00:00,con,h2o
11-6-2018 05:00,con,h2o
11-6-2018 06:00,con,h2o
11-6-2018 07:00,con,h2o
14-6-2018 12:00,con,h2o
16-6-2018 12:00,con,h2o
27-6-2018 14:00,con,h2o
10-7-2018 12:00,con,h2o
16-7-2018 13:00,con,h2o
24-7-2018 16:00,con,h2o
31-7-2018 23:00,con,h2o
12-9-2018 11:00,con,h2o
12-9-2018 12:00,con,h2o
23-6-2019 07:00,con,h2o
13-7-2019 07:00,con,h2o
28-7-2019 08:00,con,h2o
7-8-2019 09:00,con ,h2o
7-9-2019 07:00,con,h2o
2-10-2019 07:00,con,h2o
27-10-2019 16:00,con,h2o
1-1-2020 10:00,con,h2o
24-5-2017 07:00,con,co2
16-10-2017 16:00,con,co2
5-10-2017 10:00,con,co2
25-10-2017 09:00,con,co2
11-11-2017 10:00,con,co2
20-11-2017 12:00,con,co2
6-1-2018 20:00,con,co2
15-1-2018 12:00,con,co2
17-1-2018 02:00,con,co2
16-2-2018 00:00,con,co2
20-2-2018 21:00,con,co2
21-2-2018 23:00,con,co2
4-3-2018 02:00,con,co2
20-3-2018 03:00,con,co2
7-8-2019 06:00,con,co2
16-11-2019 17:00,con,co2
1-1-2020 11:00,con,co2
26-5-2020 11:00,con,co2
26-3-2017 12:00,irr,h2o
30-5-2017 00:00,irr,h2o
26-9-2017 20:00,irr,h2o
26-9-2017 21:00,irr,h2o
26-9-2017 22:00,irr,h2o
26-9-2017 23:00,irr,h2o
26-9-2017 00:00,irr,h2o
26-9-2017 01:00,irr,h2o
26-9-2017 02:00,irr,h2o
26-9-2017 03:00,irr,h2o
26-9-2017 04:00,irr,h2o
26-9-2017 05:00,irr,h2o
27-9-2017 20:00,irr,h2o
27-9-2017 21:00,irr,h2o
27-9-2017 22:00,irr,h2o
27-9-2017 23:00,irr,h2o
27-9-2017 00:00,irr,h2o
27-9-2017 01:00,irr,h2o
27-9-2017 02:00,irr,h2o
27-9-2017 03:00,irr,h2o
27-9-2017 04:00,irr,h2o
27-9-2017 05:00,irr,h2o
28-9-2017 20:00,irr,h2o
28-9-2017 21:00,irr,h2o
28-9-2017 22:00,irr,h2o
28-9-2017 23:00,irr,h2o
28-9-2017 00:00,irr,h2o
28-9-2017 01:00,irr,h2o
28-9-2017 02:00,irr,h2o
28-9-2017 03:00,irr,h2o
28-9-2017 04:00,irr,h2o
28-9-2017 05:00,irr,h2o
29-9-2017 20:00,irr,h2o
29-9-2017 21:00,irr,h2o
29-9-2017 22:00,irr,h2o
29-9-2017 23:00,irr,h2o
29-9-2017 00:00,irr,h2o
29-9-2017 01:00,irr,h2o
29-9-2017 02:00,irr,h2o
29-9-2017 03:00,irr,h2o
29-9-2017 04:00,irr,h2o
29-9-2017 05:00,irr,h2o
30-9-2017 20:00,irr,h2o
30-9-2017 21:00,irr,h2o
30-9-2017 22:00,irr,h2o
30-9-2017 23:00,irr,h2o
30-9-2017 00:00,irr,h2o
30-9-2017 01:00,irr,h2o
30-9-2017 02:00,irr,h2o
30-9-2017 03:00,irr,h2o
30-9-2017 04:00,irr,h2o
30-9-2017 05:00,irr,h2o
7-10-2017 00:00,irr,h2o
7-10-2017 01:00,irr,h2o
7-10-2017 02:00,irr,h2o
7-10-2017 05:00,irr,h2o
7-10-2017 08:00,irr,h2o
7-10-2017 09:00,irr,h2o
7-10-2017 15:00,irr,h2o
27-10-2017 06:00,irr,h2o
21-11-2017 20:00,irr,h2o
21-11-2017 21:00,irr,h2o
21-11-2017 22:00,irr,h2o
21-11-2017 23:00,irr,h2o
21-11-2017 00:00,irr,h2o
21-11-2017 01:00,irr,h2o
21-11-2017 02:00,irr,h2o
21-11-2017 03:00,irr,h2o
21-11-2017 04:00,irr,h2o
21-11-2017 05:00,irr,h2o
22-11-2017 20:00,irr,h2o
22-11-2017 21:00,irr,h2o
22-11-2017 22:00,irr,h2o
22-11-2017 23:00,irr,h2o
22-11-2017 00:00,irr,h2o
22-11-2017 01:00,irr,h2o
22-11-2017 02:00,irr,h2o
22-11-2017 03:00,irr,h2o
22-11-2017 04:00,irr,h2o
22-11-2017 05:00,irr,h2o
23-11-2017 20:00,irr,h2o
23-11-2017 21:00,irr,h2o
23-11-2017 22:00,irr,h2o
23-11-2017 23:00,irr,h2o
23-11-2017 00:00,irr,h2o
23-11-2017 01:00,irr,h2o
23-11-2017 02:00,irr,h2o
23-11-2017 03:00,irr,h2o
23-11-2017 04:00,irr,h2o
23-11-2017 05:00,irr,h2o
1-1-2018 09:00,irr,h2o
1-1-2018 08:00,irr,h2o
1-1-2018 07:00,irr,h2o
1-1-2018 06:00,irr,h2o
3-1-2018 00:00,irr,h2o
3-1-2018 02:00,irr,h2o
3-1-2018 03:00,irr,h2o
3-1-2018 04:00,irr,h2o
3-1-2018 05:00,irr,h2o
3-1-2018 06:00,irr,h2o
3-1-2018 07:00,irr,h2o
3-1-2018 08:00,irr,h2o
3-1-2018 09:00,irr,h2o
3-1-2018 10:00,irr,h2o
3-1-2018 11:00,irr,h2o
3-1-2018 12:00,irr,h2o
3-1-2018 13:00,irr,h2o
3-1-2018 14:00,irr,h2o
3-1-2018 15:00,irr,h2o
3-1-2018 16:00,irr,h2o
3-1-2018 17:00,irr,h2o
