timestamp,chamber,Counter,h2o.ambient.mmol_mol,co2.ambient.umol_mol,h2o.chamber.mmol_mol,co2.chamber.umol_mol,temp.irga.c,press.irga.kpa,flux.h2o.mmol_m2_s,flux.co2.umol_m2_s,par.current.chamber.umol_m2_s,pump.flow.chamber.lpm,pump.flow.ambient.lpm,rh.air.ambient,temp.air.ch1.c,temp.air.ch2.c,temp.air.ch3.c,temp.air.ch4.c,temp.air.ch5.c,temp.air.ch6.c,temp.air.ch7.c,temp.air.ambient.c,temp.air.ch9.c,temp.air.ch10.c,temp.air.ch11.c,temp.air.ch12.c,temp.air.ch13.c,temp.air.ch14.c,temp.air.ch15.c,temp.air.controlbox.c,par.ambient.umol_m2_s,vpd.air.ambient.kpa,vpd.air.chamber.kpa,temp.wall.ambient.c,temp.air.ambient.out.c,temp.air.current.chamber.c,rh.air.ambient.from_irga,rh.air.chamber,par.ch1.umol_m2_s,par.ch2.umol_m2_s,par.ch3.umol_m2_s,par.ch4.umol_m2_s,par.ch5.umol_m2_s,par.ch6.umol_m2_s,par.ch7.umol_m2_s,par.ch8.umol_m2_s,par.ch9.umol_m2_s,par.ch10.umol_m2_s,par.ch11.umol_m2_s,par.ch12.umol_m2_s,par.ch13.umol_m2_s,par.ch14.umol_m2_s,par.ch15.umol_m2_s,par.ch16.umol_m2_s,flux.h2o.proj_la.mmol_m2_s,flux.co2.proj_la.umol_m2_s,flux.h2o.active_la.mmol_m2_s,flux.co2.active_la.umol_m2_s,gs.mol_m2_s,gs.proj_la.umol_m2_s,gs.active_la.umol_m2_s,LE.W_m2,LE.proj_la.W_m2,LE.active_la.W_m2,H.W_m2
2020-09-25 00:11:32,16,211,19.93448,400.2316,,,33.32412,93.89687,,,,7.921978,7.848349,,17.98632,17.84271,18.189,16.70074,18.08767,16.9632,18.09612,17.7075,26.92523,17.85115,17.13246,20.48024,17.76666,17.75821,17.19168,,0.0,0.1483697424428319,,,17.65679,17.7075,92.6555268774347,94.01808901620733,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-25 00:11:34,16,213,19.96175,399.768,,,33.33776,93.89687,,,,7.86062,7.848349,,17.94409,17.8596,18.14679,16.79389,18.04545,17.00552,18.10456,17.71595,26.86718,17.96943,17.09015,20.48024,17.80046,17.66524,17.21707,,0.0,0.14688535954696294,,,17.65679,17.71595,92.73287691003897,94.06307751742165,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-25 00:11:36,16,215,19.92084,399.8771,,,33.33776,93.89687,,,,7.829941,7.834714,,17.93673,17.71704,18.1141,16.79498,18.02965,16.85425,18.04654,17.68324,26.90972,17.70014,17.02354,20.2964,17.76775,17.66633,17.18432,,0.0,0.14656355291208434,,,17.64098,17.68324,92.7338321097664,94.28892034673775,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-25 00:11:38,16,217,19.96175,400.3952,,,33.33776,93.89687,,,,7.939022,7.833351,,18.00622,17.71051,18.10757,16.7969,18.0569,16.99161,18.06534,17.6767,26.94477,17.99777,17.00007,20.48323,17.76966,17.71051,17.21162,,0.0,0.14189076304576792,,,17.64289,17.6767,92.96259365100883,94.48656219817309,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-25 00:11:40,16,219,19.97538,399.4135,,,33.33776,93.89687,,,,7.850393,7.831987,,18.02444,17.80479,18.14268,16.7813,18.07512,16.89983,18.04978,17.72029,26.98754,17.68648,17.05218,20.45093,17.7879,17.66958,17.1791,,0.0,0.14615847915471317,,,17.63577,17.72029,92.77081680521387,94.16400129658413,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-25 00:11:42,16,221,19.97538,400.6679,,,33.35139,93.89687,,,,7.969701,7.810171,,17.87951,17.65979,18.10757,16.77996,17.99777,16.91542,18.04001,17.71051,26.96136,17.98088,16.98314,20.49163,17.76966,17.72741,17.1947,,0.0,0.14491265388332955,,,17.65979,17.71051,92.82801751617413,94.19036764994088,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-25 00:11:44,16,223,20.00266,400.3952,,,33.33776,93.89687,,,,7.870846,7.819715,,17.81272,17.69441,18.12526,16.85698,18.0577,16.88237,18.07459,17.72822,26.92068,17.79582,17.00088,20.44201,17.75357,17.70286,17.21243,,0.0,0.1446076297312454,,,17.6437,17.72822,92.8510973995135,94.18022336168067,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-25 00:11:46,16,225,19.98902,399.5771,,,33.32412,93.89687,,,,7.901525,7.810171,,18.12526,17.89721,18.09993,16.9247,18.01547,17.87187,18.08304,17.71131,26.98702,18.00703,17.05166,20.4336,17.76202,17.58453,17.1955,,0.0,0.1437337833027052,,,17.6606,17.71131,92.88672057446433,94.0905896335391,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-25 00:11:48,16,227,20.01629,400.5316,,,33.32412,93.89687,,,,7.86062,7.777447,,18.01547,17.92256,18.2097,17.11089,18.02392,16.95009,18.07459,17.67751,26.83774,17.67751,17.09397,20.21503,17.86342,17.71131,17.17012,,0.0,0.13687259155062226,,,17.6437,17.67751,93.21182833085359,94.32298701001065,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-25 00:11:50,16,229,20.00266,400.3134,,,33.32412,93.89687,,,,7.966292,7.782901,,17.89773,17.86394,18.20178,17.1791,18.06667,16.97601,18.10045,17.69493,27.01241,18.016,17.01833,20.45093,17.77099,17.72029,17.1368,,0.0,0.14036787855181843,,,17.63577,17.69493,93.04612084008636,94.21946246168588,,,,,,,,,,,,,,,,,,,,,,,,,,,
